iter	RMSE
0	1.052878827
1	0.9784796398
2	0.9120331355
3	0.8525015137
4	0.8000946813
5	0.7546386618
6	0.7146711867
7	0.6784604747
8	0.6455782718
9	0.619780854
10	0.5966699718
11	0.5764502571
12	0.55747033
13	0.5406788656
14	0.527147418
15	0.5148536451
16	0.5041733453
17	0.4947754038
18	0.4859564534
19	0.4786082387
20	0.4724680003
21	0.4666851147
22	0.461653924
23	0.456960931
24	0.4527008716
25	0.4477938549
26	0.4435291278
27	0.4398478865
28	0.436726201
29	0.4332381398
30	0.4298180742
31	0.4268192238
32	0.4240664628
33	0.4207554068
34	0.4187521587
35	0.4160325493
36	0.4138546594
37	0.4117662967
38	0.4098714705
39	0.4071611727
40	0.4045153994
41	0.4023138774
42	0.4003790463
43	0.3979344977
44	0.3957101492
45	0.3942292759
46	0.3923182825
47	0.3906396283
48	0.3889283681
49	0.3872154322
50	0.3859542645
51	0.3838396753
52	0.3826516368
53	0.3809701662
54	0.3792350538
55	0.3779542107
56	0.3763890685
57	0.3746684546
58	0.3733873799
59	0.3720300505
60	0.3708248191
61	0.3692919046
62	0.3683467392
63	0.3671365581
64	0.3663352315
65	0.3654987726
66	0.3643291512
67	0.3635986536
68	0.3623731175
69	0.3616902204
70	0.3608014835
71	0.3596507484
72	0.3587321029
73	0.3574705549
74	0.3564356708
75	0.3554424526
76	0.3547931616
77	0.3540272353
78	0.3528287681
79	0.3514896846
80	0.350681005
81	0.3494756256
82	0.348397386
83	0.3473125277
84	0.3465835787
85	0.3458576391
86	0.3449557835
87	0.34427227
88	0.3433685921
89	0.3426703642
90	0.3421367058
91	0.3415485178
92	0.340901007
93	0.3400436429
94	0.3391091477
95	0.3382288565
96	0.3371614181
97	0.3366564872
98	0.3361740518
99	0.3348087497
100	0.3338616068
101	0.3327092938
102	0.3315758322
103	0.3308181649
104	0.3300812326
105	0.3295064141
106	0.3290291369
107	0.3281741465
108	0.3273354026
109	0.3263903466
110	0.3254952195
111	0.3245670773
112	0.3235817631
113	0.3228865172
114	0.3221302845
115	0.3213593676
116	0.3204813845
117	0.3197138548
118	0.3188096076
119	0.318186451
120	0.3174676956
121	0.3165249141
122	0.3156844609
123	0.3151222561
124	0.3144851246
125	0.3139003926
126	0.3132803808
127	0.3125736339
128	0.3119998333
129	0.3113200716
130	0.3107787221
131	0.3099700277
132	0.3095690277
133	0.3089621583
134	0.3085735472
135	0.3078703223
136	0.3073015468
137	0.3067285872
138	0.3060200929
139	0.3054126233
140	0.3048949366
141	0.3040878584
142	0.3033960813
143	0.3029759408
144	0.3021898406
145	0.3015036416
146	0.3008035212
147	0.3001461955
148	0.2996669569
149	0.2989907863
150	0.2984103131
151	0.2979856535
152	0.2974723482
153	0.2970439504
154	0.2964028755
155	0.2958687609
156	0.2952135328
157	0.2947420667
158	0.2943121809
159	0.2935995744
160	0.2930021937
161	0.2925367597
162	0.2919606209
163	0.2914821432
164	0.2911206193
165	0.2905272381
166	0.2899983245
167	0.2893964168
168	0.2888343197
169	0.2884029889
170	0.2878223648
171	0.2872291285
172	0.2867576636
173	0.2862694379
174	0.285863963
175	0.2854596379
176	0.2850138378
177	0.284586768
178	0.2841498554
179	0.283727691
180	0.2833673156
181	0.2828449037
182	0.2824912793
183	0.2821632163
184	0.2817242237
185	0.2813714735
186	0.2808919786
187	0.2804098869
188	0.280172939
189	0.2798178506
190	0.2795629669
191	0.2792646234
192	0.2787985022
193	0.2783945329
194	0.2777288131
195	0.2772838572
196	0.2767201307
197	0.2763171697
198	0.2760130736
199	0.2754077054
