iter	Passed	Remaining
0	5	1455
1	12	1501
2	18	1500
3	24	1484
4	30	1474
5	36	1466
6	41	1444
7	46	1409
8	52	1395
9	57	1384
10	63	1379
11	70	1391
12	76	1386
13	81	1371
14	87	1363
15	93	1360
16	98	1354
17	104	1344
18	109	1334
19	115	1322
20	120	1313
21	126	1307
22	132	1311
23	139	1309
24	145	1305
25	150	1297
26	155	1286
27	161	1278
28	166	1272
29	172	1266
30	178	1257
31	183	1248
32	188	1239
33	194	1232
34	199	1227
35	206	1225
36	211	1218
37	216	1210
38	222	1205
39	228	1199
40	234	1196
41	241	1196
42	247	1190
43	253	1187
44	259	1182
45	265	1179
46	271	1173
47	277	1169
48	284	1165
49	290	1161
50	296	1156
51	302	1149
52	307	1143
53	312	1135
54	317	1127
55	323	1121
56	329	1116
57	335	1110
58	341	1105
59	346	1096
60	351	1088
61	357	1082
62	362	1076
63	368	1071
64	374	1065
65	379	1057
66	385	1052
67	391	1046
68	397	1041
69	402	1035
70	409	1031
71	414	1024
72	419	1018
73	425	1011
74	431	1006
75	437	1001
76	443	996
77	448	989
78	454	982
79	459	977
80	465	971
81	471	966
82	476	959
83	481	952
84	487	946
85	492	939
86	498	934
87	503	927
88	509	921
89	514	915
90	520	909
91	532	914
92	538	909
93	543	902
94	548	895
95	554	889
96	559	883
97	565	877
98	571	871
99	576	864
100	582	858
101	588	853
102	595	849
103	600	843
104	607	838
105	612	832
106	618	826
107	623	820
108	629	814
109	635	808
110	641	802
111	646	796
112	651	789
113	657	784
114	664	779
115	669	773
116	675	768
117	681	762
118	687	757
119	693	751
120	698	745
121	704	739
122	710	733
123	716	727
124	721	721
125	727	715
126	733	710
127	738	704
128	744	698
129	749	692
130	755	686
131	760	679
132	766	674
133	772	668
134	778	662
135	783	657
136	789	651
137	794	645
138	800	639
139	806	633
140	812	627
141	817	622
142	823	616
143	829	610
144	834	604
145	840	598
146	846	592
147	851	587
148	857	581
149	862	575
150	868	569
151	873	563
152	879	557
153	886	552
154	892	546
155	897	540
156	903	535
157	908	529
158	914	523
159	920	517
160	925	511
161	931	505
162	936	499
163	941	493
164	947	488
165	953	482
166	958	476
167	963	470
168	969	464
169	975	458
170	981	453
171	986	447
172	992	441
173	998	435
174	1003	430
175	1009	424
176	1015	418
177	1020	412
178	1026	406
179	1032	401
180	1038	395
181	1044	390
182	1049	384
183	1055	378
184	1061	372
185	1067	367
186	1072	361
187	1077	355
188	1083	349
189	1088	343
190	1094	338
191	1099	332
192	1104	326
193	1110	320
194	1116	314
195	1122	309
196	1128	303
197	1134	297
198	1139	292
199	1145	286
200	1151	280
201	1157	275
202	1162	269
203	1168	263
204	1174	257
205	1180	252
206	1185	246
207	1191	240
208	1197	234
209	1202	229
210	1208	223
211	1214	217
212	1220	211
213	1226	206
214	1232	200
215	1238	194
216	1244	189
217	1249	183
218	1255	177
219	1261	171
220	1267	166
221	1273	160
222	1279	154
223	1284	149
224	1290	143
225	1295	137
226	1301	131
227	1307	126
228	1313	120
229	1319	114
230	1325	109
231	1330	103
232	1336	97
233	1342	91
234	1347	86
235	1353	80
236	1358	74
237	1363	68
238	1369	63
239	1375	57
240	1381	51
241	1386	45
242	1391	40
243	1397	34
244	1403	28
245	1408	22
246	1414	17
247	1419	11
248	1424	5
249	1430	0
