Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Niger seed,2007,Kharif,Karnataka,31244.0,11750,1323.3,4167949.6,4999.04,0.349166667,25.6,68.8,Loamy,6.64,200.1,49.7,78.8,57.2,Drip,Improved,June,September,100,57.2,26.4,22.0,59.5,46.7,49.3
Arecanut,2013,Rabi,Assam,68038.0,56999,1797.7,9830810.62,18370.26,0.80037037,24.1,77.3,Laterite,6.0,148.4,75.0,65.9,71.8,Canal,Sreemangala,December,December,352,63.6,40.8,57.3,74.5,31.6,73.2
Garlic,2019,Whole Year,Karnataka,1706.0,8741,1422.3,293022.56,631.22,5.177727273,20.6,65.0,Black,7.8,268.1,87.6,125.5,57.4,Borewell,Yamuna,January,May,135,70.7,12.3,30.0,73.8,21.6,71.5
Cotton(lint),2003,Kharif,Tamil Nadu,97777.0,119687,345.6,9677967.46,23466.48,1.504615385,32.8,62.7,Alluvial,7.12,154.6,55.9,66.9,42.5,Canal,Hybrid,July,December,162,43.9,36.2,36.1,18.6,52.2,39.1
Other Cereals,2006,Rabi,Gujarat,45900.0,62100,1056.2,5861889.0,10098.0,1.219230769,21.2,44.9,Alluvial,6.91,165.8,61.0,78.5,59.5,Canal,Local,October,February,110,60.1,13.0,16.4,52.8,47.1,68.3
Khesari,2002,Rabi,Chhattisgarh,330126.0,170345,1001.4,31253028.42,82531.5,0.526666667,17.9,48.1,Loamy,7.05,102.7,39.3,29.8,57.5,Canal,Improved,December,April,107,46.4,16.5,14.6,48.5,18.5,61.9
Castor seed,2009,Kharif,Chhattisgarh,64.0,18,956.9,9972.48,10.88,0.198571429,28.4,66.2,Black,7.05,211.0,69.3,93.8,43.5,Rainfed,Local,July,December,159,65.2,29.4,20.3,19.3,25.0,54.2
Linseed,2012,Rabi,Chhattisgarh,32250.0,13416,1366.8,4863300.0,9997.5,0.442083333,23.0,71.8,Red,5.6,176.4,59.8,62.4,60.3,Canal,Improved,November,March,122,60.4,18.3,35.9,74.7,33.8,61.8
Onion,2005,Whole Year,Assam,7726.0,18291,2184.6,926501.92,1622.46,2.373333333,23.4,91.0,Alluvial,7.42,161.5,47.9,69.4,70.3,Borewell,Agrifound,January,May,124,52.3,28.4,37.1,73.7,28.7,59.6
Bajra,2000,Kharif,Jammu and Kashmir,13340.0,6188,989.5,1309587.8,3468.4,0.536,24.3,41.8,Sandy,7.24,82.9,29.6,5.6,45.9,Rainfed,HHB 67,May,August,83,28.9,14.5,30.0,32.5,55.5,43.9
Wheat,2004,Rabi,Nagaland,8200.0,13000,1711.5,888388.0,1722.0,1.49125,16.4,82.5,Alluvial,6.82,159.2,77.4,54.0,58.4,Rainfed,PBW 343,November,March,129,60.0,10.5,18.8,39.7,16.1,64.3
Sweet potato,2009,Whole Year,Karnataka,2397.0,15751,1321.0,373500.54,407.49,6.936666667,27.9,62.7,Black,7.22,195.5,62.9,85.1,48.4,Borewell,Improved,January,May,115,60.2,23.7,11.1,51.2,25.7,63.2
Wheat,2009,Rabi,Haryana,2487756.0,10488000,393.0,387642139.9,422918.52,4.133809524,16.9,32.4,Sandy Loam,7.09,199.4,76.5,75.7,38.6,Sprinkler,Local,November,March,135,56.3,20.3,6.4,31.1,28.7,47.8
Sweet potato,2004,Whole Year,Andhra Pradesh,1193.0,7829,781.8,129249.62,250.53,6.883157895,27.0,50.8,Red,6.24,103.4,41.3,56.6,37.7,Canal,Improved,February,June,111,46.2,7.9,33.9,38.0,14.5,54.0
Barley,2004,Rabi,Uttar Pradesh,209126.0,413054,704.0,22656710.84,43916.46,1.896285714,20.1,44.2,Loamy,6.35,148.6,54.9,74.6,33.5,Borewell,Local,November,April,140,45.7,8.8,19.3,37.4,30.5,55.3
Sugarcane,2006,Whole Year,Nagaland,4500.0,229000,1362.5,574695.0,990.0,48.145,22.1,80.7,Alluvial,7.09,196.8,59.1,76.2,59.2,Canal,Local,February,January,333,68.1,27.4,36.8,71.5,61.9,55.3
Small millets,2001,Kharif,Gujarat,12900.0,2900,666.5,1317477.0,3354.0,0.21,30.5,57.1,Sandy Loam,6.92,133.9,50.1,75.0,47.9,Drip,Local,May,August,101,46.7,36.0,17.3,25.2,41.6,48.7
Wheat,2002,Rabi,Uttar Pradesh,9162749.0,23745162,664.0,867437447.8,2290687.25,2.558550725,16.4,44.7,Alluvial,6.61,101.4,37.0,49.2,46.9,Canal,PBW 343,December,April,128,51.0,12.6,33.1,25.8,30.9,51.5
Sesamum,2014,Winter,Odisha,17919.0,4546,1536.9,2705052.24,5913.27,0.2695,25.0,74.7,Red,6.31,165.9,57.5,70.0,53.9,Rainfed,Improved,September,December,84,56.1,22.0,29.8,39.2,53.3,53.9
Sesamum,2013,Summer,Gujarat,78474.0,39287,1006.5,11338708.26,21187.98,0.44,30.6,47.2,Black,7.52,177.2,63.7,71.7,42.9,Rainfed,Hybrid,February,May,97,54.2,11.8,7.2,14.0,28.3,49.2
Horse-gram,2016,Rabi,Tamil Nadu,34851.0,11186,912.4,5340915.75,12197.85,0.2972,21.9,56.5,Laterite,5.61,185.5,61.2,71.5,38.9,Rainfed,Local,October,February,106,49.2,6.4,7.9,0.8,51.7,45.5
Banana,2009,Whole Year,Kerala,51275.0,406242,2821.5,7989670.5,8716.75,7.835714286,27.4,93.5,Laterite,6.18,126.3,58.3,64.8,67.8,Rainfed,Local,January,November,314,55.0,26.0,46.7,42.9,28.6,46.3
Castor seed,2018,Kharif,Tamil Nadu,4756.0,1526,986.2,771423.2,1664.6,0.333636364,28.7,72.2,Black,7.38,235.1,85.1,121.1,53.6,Canal,Local,May,November,171,79.5,39.3,22.4,45.3,7.9,68.5
Sugarcane,2009,Whole Year,Jharkhand,894.0,38926,996.1,139303.08,151.98,41.7825,26.5,61.8,Alluvial,7.15,214.3,77.4,92.0,58.3,Borewell,Co 0238,January,December,324,73.4,20.1,38.3,43.2,34.1,63.4
Small millets,1999,Kharif,Maharashtra,92700.0,65200,1166.5,9838251.0,25029.0,0.72047619,25.0,63.3,Laterite,6.26,103.6,44.3,43.3,40.5,Rainfed,Hybrid,May,August,95,43.5,21.7,17.4,31.2,2.1,67.7
Small millets,2001,Rabi,Maharashtra,20000.0,9900,1035.8,2042600.0,5200.0,0.506315789,27.3,50.5,Laterite,6.04,130.0,33.5,48.4,47.4,Rainfed,Local,October,January,98,39.3,4.3,24.7,9.9,15.2,47.8
Small millets,2009,Kharif,Madhya Pradesh,268521.0,73804,904.1,41840942.22,45648.57,0.282424242,28.0,57.1,Red,5.86,218.3,65.9,83.3,42.6,Borewell,Improved,July,October,102,52.6,17.6,31.0,34.3,10.3,59.2
Safflower,2014,Kharif,Andhra Pradesh,85.0,37,687.6,12831.6,28.05,0.44,29.8,61.6,Alluvial,7.54,191.1,79.0,73.4,42.4,Borewell,Improved,July,November,134,49.2,19.5,26.0,18.8,51.3,33.7
Ginger,2012,Kharif,Nagaland,3370.0,30730,1296.6,508196.0,1044.7,9.116363636,26.8,84.2,Loamy,6.9,180.3,72.5,79.9,38.9,Rainfed,Rio-de-Janeiro,June,February,228,60.7,31.2,44.6,26.3,45.2,45.6
Coriander,2017,Kharif,Telangana,16.0,5,815.7,2519.04,6.08,0.6,24.3,58.9,Loamy,6.08,223.5,85.6,103.4,42.5,Borewell,Local,May,September,122,70.0,21.3,31.4,45.3,35.4,60.0
Urad,2007,Kharif,Haryana,3511.0,1400,443.8,468367.4,561.76,0.314545455,30.6,55.7,Alluvial,6.88,164.0,63.6,76.2,43.0,Borewell,HYV,May,August,82,58.9,19.8,29.4,24.9,19.4,60.0
